the	ð ə
fairy	f ɛ ɹ i
builds	b ɪ l d z
contacted	k ɑː n t æ k t ᵻ d
shaft	ʃ æ f t
lean	l iː n
bye	b aɪ
cdt	s iː d iː t iː
recorders	ɹ ᵻ k ɔːɹ d ɚ z
occasional	ə k eɪ ʒ ə n əl
leslie	l ɛ s l i
casio	k æ s ɪ oʊ
deutsche	d ɔɪ tʃ
ana	ɑː n ə
postings	p oʊ s t ɪ ŋ z
innovations	ɪ n ə v eɪ ʃ ə n z
kitty	k ɪ ɾ i
postcards	p oʊ s t k ɑːɹ d z
dude	d uː d
drain	d ɹ eɪ n
monte	m ɑː n t i
fires	f aɪɚ z
algeria	æ l dʒ ɪ ɹ i ə
blessed	b l ɛ s t
luis	l uː ɪ s
reviewing	ɹ ᵻ v j uː ɪ ŋ
cardiff	k ɑːɹ d ɪ f
cornwall	k ɔːɹ n w ɔː l
favors	f eɪ v ɚ z
potato	p ə t eɪ ɾ oʊ
panic	p æ n ɪ k
explicitly	ɛ k s p l ɪ s ɪ t l i
sticks	s t ɪ k s
leone	l iː oʊ n
transsexual	t ɹ æ n s ɛ k ʃ uː əl
ez	ɛ z
citizenship	s ɪ ɾ ɪ z ə n ʃ ɪ p
excuse	ɛ k s k j uː s
reforms	ɹ ᵻ f ɔːɹ m z
basement	b eɪ s m ə n t
onion	ʌ n iə n
strand	s t ɹ æ n d
pf	p iː ɛ f
sandwich	s æ n d w ɪ tʃ
uw	ʌ w
lawsuit	l ɔː s uː t
alto	æ l t oʊ
informative	ɪ n f ɔːɹ m ə t ɪ v
girlfriend	ɡ ɜː l f ɹ ɛ n d
bloomberg	b l uː m ɜː ɡ
cheque	tʃ ɛ k
hierarchy	h aɪɚ ɹ ɑːɹ k i
influenced	ɪ n f l uː ə n s t
banners	b æ n ɚ z
reject	ɹ ᵻ dʒ ɛ k t
eau	oʊ
abandoned	ɐ b æ n d ə n d
bd	b iː d iː
circles	s ɜː k əl z
italic	ɪ t æ l ɪ k
beats	b iː t s
merry	m ɛ ɹ i
mil	m ɪ l
scuba	s k uː b ə
gore	ɡ ɔːɹ
complement	k ɑː m p l ɪ m ə n t
cult	k ʌ l t
dash	d æ ʃ
passive	p æ s ɪ v
mauritius	m ɔː ɹ ɪ ʃ ə s
valued	v æ l j uː d
cage	k eɪ dʒ
checklist	tʃ ɛ k l ɪ s t
requesting	ɹ ᵻ k w ɛ s t ɪ ŋ
courage	k ɜː ɹ ɪ dʒ
verde	v ɜː d
lauderdale	l ɔː d ɚ d eɪ l
scenarios	s ə n æ ɹ i oʊ z
gazette	ɡ ə z ɛ t
hitachi	h ɪ t æ tʃ i
divx	d ɪ v k s
extraction	ɛ k s t ɹ æ k ʃ ə n
batman	b æ t m æ n
elevation	ɛ l ɪ v eɪ ʃ ə n
hearings	h ɪ ɹ ɪ ŋ z
coleman	k oʊ l m ə n
hugh	h j uː
lap	l æ p
utilization	j uː ɾ ɪ l ᵻ z eɪ ʃ ə n
beverages	b ɛ v ɚ ɹ ɪ dʒ ᵻ z
calibration	k æ l ɪ b ɹ eɪ ʃ ə n
jake	dʒ eɪ k
eval	ɪ v æ l
efficiently	ɪ f ɪ ʃ ə n t l i
anaheim	æ n ɐ h aɪ m
ping	p ɪ ŋ
textbook	t ɛ k s t b ʊ k
dried	d ɹ aɪ d
entertaining	ɛ n t ɚ t eɪ n ɪ ŋ
prerequisite	p ɹ iː ɹ ɛ k w ɪ s ɪ t
luther	l uː ð ɚ
frontier	f ɹ ʌ n t ɪɹ
settle	s ɛ ɾ əl
stopping	s t ɑː p ɪ ŋ
refugees	ɹ ɛ f j uː dʒ iː z
knights	n aɪ t s
hypothesis	h aɪ p ɑː θ ə s ɪ s
palmer	p ɑː m ɚ
medicines	m ɛ d ə s ə n z
flux	f l ʌ k s
derby	d ɜː b i
sao	s aʊ
peaceful	p iː s f əl
altered	ɔ l t ɚ d
pontiac	p ɔ n t ɪ æ k
regression	ɹ ᵻ ɡ ɹ ɛ ʃ ə n
doctrine	d ɑː k t ɹ ɪ n
scenic	s iː n ɪ k
trainers	t ɹ eɪ n ɚ z
muze	m j uː z
enhancements	ɛ n h æ n s m ə n t s
renewable	ɹ ᵻ n uː ə b əl
intersection	ɪ n t ɚ s ɛ k ʃ ə n
passwords	p æ s w ɜː d z
sewing	s oʊ ɪ ŋ
consistency	k ə n s ɪ s t ə n s i
collectors	k ə l ɛ k t ɚ z
conclude	k ə ŋ k l uː d
recognised	ɹ ɛ k ə ɡ n aɪ z d
munich	m j uː n ɪ k
oman	oʊ m æ n
celebs	s ɛ l ɛ b z
gmc	dʒ iː ɛ m s iː
propose	p ɹ ə p oʊ z
hh	eɪ tʃ eɪ tʃ
azerbaijan	æ z ɚ b aɪ dʒ ɑː n
lighter	l aɪ ɾ ɚ
rage	ɹ eɪ dʒ
adsl	eɪ d iː ɛ s ɛ l
uh	ʌ
prix	p ɹ iː
astrology	ɐ s t ɹ ɑː l ə dʒ i
advisors	ɐ d v aɪ z ɚ z
pavilion	p ɐ v ɪ l iə n
tactics	t æ k t ɪ k s
trusts	t ɹ ʌ s t s
occurring	ə k ɜː ɹ ɪ ŋ
supplemental	s ʌ p l ɪ m ɛ n t əl
travelling	t ɹ æ v ə l ɪ ŋ
talented	t æ l ə n t ᵻ d
annie	æ n i
pillow	p ɪ l oʊ
induction	ɪ n d ʌ k ʃ ə n
derek	d ɛ ɹ ɪ k
precisely	p ɹ ɪ s aɪ s l i
shorter	ʃ ɔːɹ ɾ ɚ
harley	h ɑːɹ l i
spreading	s p ɹ ɛ d ɪ ŋ
provinces	p ɹ ɑː v ɪ n s ᵻ z
relying	ɹ ᵻ l aɪ ɪ ŋ
finals	f aɪ n əl z
paraguay	p æ ɹ ə ɡ w aɪ
steal	s t iː l
parcel	p ɑːɹ s əl
refined	ɹ ᵻ f aɪ n d
fd	ɛ f d iː
bo	b oʊ
fifteen	f ɪ f t iː n
widespread	w aɪ d s p ɹ ɛ d
incidence	ɪ n s ɪ d ə n s
fears	f ɪɹ z
predict	p ɹ ɪ d ɪ k t
boutique	b uː t iː k
acrylic	ɐ k ɹ ɪ l ɪ k
rolled	ɹ oʊ l d
tuner	t uː n ɚ
avon	eɪ v ɑː n
incidents	ɪ n s ɪ d ə n t s
peterson	p iː ɾ ɚ s ə n
rays	ɹ eɪ z
asn	æ z ə n
shannon	ʃ æ n ə n
toddler	t ɑː d l ɚ
enhancing	ɛ n h æ n s ɪ ŋ
flavor	f l eɪ v ɚ
alike	ɐ l aɪ k
walt	w ɔ l t
homeless	h oʊ m l ə s
horrible	h ɔː ɹ ɪ b əl
hungry	h ʌ ŋ ɡ ɹ i
metallic	m ə t æ l ɪ k
acne	æ k n i
blocked	b l ɑː k t
interference	ɪ n t ə f ɪ ɹ ə n s
warriors	w ɔː ɹ ɪ ɚ z
palestine	p æ l ə s t aɪ n
listprice	l ɪ s t p ɹ aɪ s
libs	l ɪ b z
undo	ʌ n d uː
cadillac	k æ d ɪ l æ k
atmospheric	æ t m ə s f ɛ ɹ ɪ k
malawi	m ɐ l ɑː w i
wm	d ʌ b əl j uː ɛ m
pk	p iː k eɪ
sagem	s eɪ dʒ ə m
knowledgestorm	n ɑː l ɪ dʒ s t ɔːɹ m
dana	d eɪ n ə
halo	h eɪ l oʊ
ppm	p iː p iː ɛ m
curtis	k ɜː ɾ ɪ s
parental	p ɚ ɹ ɛ n t əl
referenced	ɹ ɛ f ɹ ə n s t
strikes	s t ɹ aɪ k s
lesser	l ɛ s ɚ
publicity	p ʌ b l ɪ s ᵻ ɾ i
marathon	m æ ɹ ə θ ɑː n
ant	æ n t
proposition	p ɹ ɑː p ə z ɪ ʃ ə n
gays	ɡ eɪ z
pressing	p ɹ ɛ s ɪ ŋ
gasoline	ɡ æ s ə l iː n
apt	æ p t
dressed	d ɹ ɛ s t
scout	s k aʊ t
belfast	b ɛ l f æ s t
exec	ɛ ɡ z ɛ k
dealt	d ɛ l t
niagara	n aɪ æ ɡ ɹ ə
inf	ɪ n f
eos	ɪ oʊ z
warcraft	w ɔːɹ k ɹ æ f t
charms	tʃ ɑːɹ m z
catalyst	k æ ɾ ɐ l ɪ s t
trader	t ɹ eɪ d ɚ
bucks	b ʌ k s
allowance	ɐ l aʊ ə n s
vcr	v iː s iː ɑːɹ
denial	d ᵻ n aɪ əl
uri	j ʊɹ ɹ i
designation	d ɛ z ɪ ɡ n eɪ ʃ ə n
thrown	θ ɹ oʊ n
prepaid	p ɹ ɪ p eɪ d
raises	ɹ eɪ z ᵻ z
gem	dʒ ɛ m
duplicate	d uː p l ᵻ k eɪ t
electro	ɪ l ɛ k t ɹ oʊ
criterion	k ɹ aɪ t iə ɹ ɪ ə n
badge	b æ dʒ
wrist	ɹ ɪ s t
civilization	s ɪ v ɪ l ᵻ z eɪ ʃ ə n
analyzed	æ n ɐ l aɪ z d
vietnamese	v iː ɛ t n ə m iː z
heath	h iː θ
tremendous	t ɹ ə m ɛ n d ə s
ballot	b æ l ə t
lexus	l ɛ k s ə s
varying	v ɛ ɹ i ɪ ŋ
remedies	ɹ ɛ m ə d i z
validity	v æ l ɪ d ᵻ ɾ i
trustee	t ɹ ʌ s t iː
maui	m aʊ iː
weighted	w eɪ ɾ ᵻ d
angola	æ ŋ ɡ oʊ l ə
performs	p ɚ f ɔːɹ m z
plastics	p l æ s t ɪ k s
realm	ɹ ɛ l m
corrected	k ɚ ɹ ɛ k t ᵻ d
jenny	dʒ ɛ n i
helmet	h ɛ l m ɪ t
salaries	s æ l ɚ ɹ i z
postcard	p oʊ s t k ɑːɹ d
elephant	ɛ l ɪ f ə n t
yemen	j ɛ m ə n
encountered	ɛ ŋ k aʊ n t ɚ d
tsunami	t s uː n ɑː m i
scholar	s k ɑː l ɚ
nickel	n ɪ k əl
internationally	ɪ n t ɚ n æ ʃ ə n əl i
surrounded	s ɚ ɹ aʊ n d ᵻ d
psi	s aɪ
buses	b ʌ s ᵻ z
expedia	ɛ k s p iː d iə
geology	dʒ ɪ ɑː l ə dʒ i
pct	p iː s iː t iː
wb	d ʌ b əl j uː b iː
creatures	k ɹ iː tʃ ɚ z
coating	k oʊ ɾ ɪ ŋ
commented	k ɑː m ɛ n t ᵻ d
wallet	w ɔ l ɪ t
cleared	k l ɪɹ d
smilies	s m aɪ l i z
vids	v ɪ d z
accomplish	ɐ k ɑː m p l ɪ ʃ
boating	b oʊ ɾ ɪ ŋ
drainage	d ɹ eɪ n ɪ dʒ
shakira	ʃ æ k iə ɹ ə
corners	k ɔːɹ n ɚ z
broader	b ɹ ɔː d ɚ
vegetarian	v ɛ dʒ ɪ t ɛ ɹ iə n
rouge	ɹ uː ʒ
yeast	j iː s t
yale	j eɪ l
newfoundland	n j uː f ə n d l ɐ n d
sn	ɛ s ɛ n
qld	k j uː ɛ l d iː
pas	p æ s
clearing	k l ɪ ɹ ɪ ŋ
investigated	ɪ n v ɛ s t ᵻ ɡ eɪ ɾ ᵻ d
dk	d iː k eɪ
ambassador	ɐ m b æ s ə d ɚ
coated	k oʊ ɾ ᵻ d
intend	ɪ n t ɛ n d
stephanie	s t ɛ f ə n i
contacting	k ɑː n t æ k t ɪ ŋ
vegetation	v ɛ dʒ ɪ t eɪ ʃ ə n
doom	d uː m
findarticles	f aɪ n d ɑːɹ t ɪ k əl z
louise	l uː w iː z
kenny	k ɛ n i
specially	s p ɛ ʃ əl i
owen	oʊ ɪ n
routines	ɹ uː t iː n z
hitting	h ɪ ɾ ɪ ŋ
yukon	j uː k ə n
beings	b iː ɪ ŋ z
bite	b aɪ t
issn	ɪ s ə n
aquatic	ə k w æ ɾ ɪ k
reliance	ɹ ᵻ l aɪ ə n s
habits	h æ b ɪ t s
striking	s t ɹ aɪ k ɪ ŋ
myth	m ɪ θ
infectious	ɪ n f ɛ k ʃ ə s
podcasts	p ɑː d k æ s t s
singh	s ɪ ŋ
gig	ɡ ɪ ɡ
gilbert	ɡ ɪ l b ɚ t
sas	s æ s
ferrari	f ɚ ɹ ɑːɹ ɹ i
continuity	k ɑː n t ɪ n j uː ᵻ ɾ i
brook	b ɹ ʊ k
fu	f uː
outputs	aʊ t p ʊ t s
phenomenon	f ɪ n ɑː m ɪ n ə n
ensemble	ɑː n s ɑː m b əl
insulin	ɪ n s ə l ɪ n
assured	ə ʃ ʊɹ d
biblical	b ɪ b l ɪ k əl
weed	w iː d
conscious	k ɑː n ʃ ə s
accent	æ k s ə n t
mysimon	m aɪ s ɪ m ə n
eleven	ᵻ l ɛ v ə n
wives	w aɪ v z
ambient	æ m b iə n t
utilize	j uː ɾ ɪ l aɪ z
mileage	m aɪ l ɪ dʒ
oecd	oʊ iː s iː d iː
prostate	p ɹ ɑː s t eɪ t
adaptor	ɐ d æ p t ɚ
auburn	ɔː b ɜː n
unlock	ʌ n l ɑː k
hyundai	h ʌ n d eɪ
pledge	p l ɛ dʒ
vampire	v æ m p aɪɚ
angela	æ n dʒ ə l ə
relates	ɹ ᵻ l eɪ t s
nitrogen	n aɪ t ɹ ə dʒ ə n
xerox	z iə ɹ ɑː k s
dice	d aɪ s
merger	m ɜː dʒ ɚ
softball	s ɔ f t b ɔː l
referrals	ɹ ᵻ f ɜː ɹ əl z
quad	k w ɑː d
dock	d ɑː k
differently	d ɪ f ɹ ə n t l i
firewire	f aɪɚ w aɪɚ
mods	m ɑː d z
nextel	n ɛ k s t əl
framing	f ɹ eɪ m ɪ ŋ
organised	ɔːɹ ɡ ɐ n aɪ z d
musician	m j uː z ɪ ʃ ə n
blocking	b l ɑː k ɪ ŋ
rwanda	ɹ ʊ æ n d ə
sorts	s ɔːɹ t s
integrating	ɪ n t ᵻ ɡ ɹ eɪ ɾ ɪ ŋ
vsnet	v iː s n ɛ t
limiting	l ɪ m ɪ ɾ ɪ ŋ
dispatch	d ɪ s p æ tʃ
revisions	ɹ ᵻ v ɪ ʒ ə n z
papua	p æ p j uː ə
restored	ɹ ᵻ s t ɔːɹ d
hint	h ɪ n t
armor	ɑːɹ m ɚ
riders	ɹ aɪ d ɚ z
chargers	tʃ ɑːɹ dʒ ɚ z
remark	ɹ ᵻ m ɑːɹ k
dozens	d ʌ z ə n z
varies	v ɛ ɹ i z
msie	ɛ m s aɪ
reasoning	ɹ iː z ə n ɪ ŋ
wn	d ʌ b əl j uː ɛ n
liz	l ɪ z
rendered	ɹ ɛ n d ɚ d
picking	p ɪ k ɪ ŋ
charitable	tʃ æ ɹ ɪ ɾ ə b əl
guards	ɡ ɑːɹ d z
annotated	æ n ə t eɪ ɾ ᵻ d
ccd	s iː s iː d iː
sv	ɛ s v iː
convinced	k ə n v ɪ n s t
openings	oʊ p ə n ɪ ŋ z
buys	b aɪ z
burlington	b ɜː l ɪ ŋ t ə n
replacing	ɹ ᵻ p l eɪ s ɪ ŋ
researcher	ɹ ᵻ s ɜː tʃ ɚ
watershed	w ɔː ɾ ɚ ʃ ɛ d
councils	k aʊ n s əl z
occupations	ɑː k j ʊ p eɪ ʃ ə n z
acknowledged	ɐ k n ɑː l ɪ dʒ d
kruger	k ɹ uː ɡ ɚ
pockets	p ɑː k ɪ t s
granny	ɡ ɹ æ n i
pork	p ɔːɹ k
zu	z uː
equilibrium	iː k w ɪ l ɪ b ɹ iə m
viral	v aɪɚ ɹ əl
inquire	ɪ ŋ k w aɪɚ
pipes	p aɪ p s
characterized	k æ ɹ ɪ k t ɚ ɹ aɪ z d
laden	l eɪ d ə n
aruba	æ ɹ uː b ə
cottages	k ɑː ɾ ɪ dʒ ᵻ z
realtor	ɹ iː ə l t ɚ
merge	m ɜː dʒ
privilege	p ɹ ɪ v ᵻ l ɪ dʒ
edgar	ɛ d ɡ ɚ
develops	d ɪ v ɛ l ə p s
qualifying	k w ɔ l ᵻ f aɪ ɪ ŋ
chassis	tʃ æ s i
dubai	d uː b aɪ
estimation	ɛ s t ᵻ m eɪ ʃ ə n
barn	b ɑːɹ n
pushing	p ʊ ʃ ɪ ŋ
llp	ɛ l ɛ l p iː
fleece	f l iː s
pediatric	p iː d ɪ æ t ɹ ɪ k
boc	b ɑː k
fare	f ɛɹ
dg	d iː dʒ iː
asus	eɪ s ə s
pierce	p ɪɹ s
allan	æ l ə n
dressing	d ɹ ɛ s ɪ ŋ
techrepublic	t ɛ k ɹ ɪ p ʌ b l ɪ k
sperm	s p ɜː m
vg	v iː dʒ iː
bald	b ɔː l d
filme	f ɪ l m i
craps	k ɹ æ p s
fuji	f uː dʒ i
frost	f ɹ ɔ s t
leon	l iː ɑː n
institutes	ɪ n s t ɪ t uː t s
mold	m oʊ l d
dame	d eɪ m
fo	f oʊ
sally	s æ l i
yacht	j ɑː t
tracy	t ɹ eɪ s i
prefers	p ɹ ɪ f ɜː z
drilling	d ɹ ɪ l ɪ ŋ
brochures	b ɹ oʊ ʃ ʊɹ r z
herb	ɜː b
tmp	t iː ɛ m p iː
alot	ɐ l ɑː t
ate	eɪ t
breach	b ɹ iː tʃ
whale	w eɪ l
traveller	t ɹ æ v ə l ɚ
appropriations	ɐ p ɹ oʊ p ɹ ɪ eɪ ʃ ə n z
suspected	s ə s p ɛ k t ᵻ d
tomatoes	t ə m eɪ ɾ oʊ z
benchmark	b ɛ n tʃ m ɑːɹ k
beginners	b ɪ ɡ ɪ n ɚ z
instructors	ɪ n s t ɹ ʌ k t ɚ z
highlighted	h aɪ l aɪ ɾ ᵻ d
bedford	b ɛ d f ɚ d
stationery	s t eɪ ʃ ə n ɛ ɹ i
idle	aɪ d əl
mustang	m ʌ s t æ ŋ
unauthorized	ʌ n ɔː θ ɚ ɹ aɪ z d
clusters	k l ʌ s t ɚ z
antibody	æ n t ɪ b ɑː d i
competent	k ɑː m p ɪ t ə n t
momentum	m oʊ m ɛ n t ə m
fin	f ɪ n
wiring	w aɪɚ ɹ ɪ ŋ
io	iː oʊ
pastor	p æ s t ɚ
mud	m ʌ d
calvin	k æ l v ɪ n
uni	j uː n i
shark	ʃ ɑːɹ k
contributor	k ə n t ɹ ɪ b j uː ɾ ɚ
demonstrates	d ɛ m ə n s t ɹ eɪ t s
phases	f eɪ z ᵻ z
grateful	ɡ ɹ eɪ t f əl
emerald	ɛ m ɚ ɹ əl d
gradually	ɡ ɹ æ dʒ uː əl i
laughing	l æ f ɪ ŋ
grows	ɡ ɹ oʊ z
cliff	k l ɪ f
desirable	d ɪ z aɪɚ ɹ ə b əl
tract	t ɹ æ k t
ul	ʊ l
ballet	b æ l eɪ
ol	ɑː l
journalist	dʒ ɜː n ə l ɪ s t
abraham	eɪ b ɹ ə h æ m
js	dʒ eɪ ɛ s
bumper	b ʌ m p ɚ
afterwards	æ f t ɚ w ɚ d z
webpage	w ɛ b p eɪ dʒ
religions	ɹ ᵻ l ɪ dʒ ə n z
garlic	ɡ ɑːɹ l ɪ k
hostels	h ɑː s t əl z
shine	ʃ aɪ n
senegal	s ɛ n ɛ ɡ əl
explosion	ɛ k s p l oʊ ʒ ə n
pn	p iː ɛ n
banned	b æ n d
wendy	w ɛ n d i
briefs	b ɹ iː f s
signatures	s ɪ ɡ n ɪ tʃ ɚ z
diffs	d ɪ f s
cove	k oʊ v
mumbai	m ʊ m b aɪ
ozone	oʊ z oʊ n
disciplines	d ɪ s ɪ p l ɪ n z
casa	k ɑː s ə
mu	m uː
daughters	d ɔː ɾ ɚ z
conversations	k ɑː n v ɚ s eɪ ʃ ə n z
radios	ɹ eɪ d ɪ oʊ z
tariff	t æ ɹ ɪ f
nvidia	ɛ n v ɪ d i ə
opponent	ə p oʊ n ə n t
pasta	p ɑː s t ə
simplified	s ɪ m p l ᵻ f aɪ d
muscles	m ʌ s əl z
serum	s ɛ ɹ ə m
wrapped	ɹ æ p t
swift	s w ɪ f t
motherboard	m ʌ ð ɚ b ɔːɹ d
runtime	ɹ ʌ n t aɪ m
inbox	ɪ n b ɑː k s
focal	f oʊ k əl
bibliographic	b ɪ b l ɪ ə ɡ ɹ æ f ɪ k
eden	iː d ə n
distant	d ɪ s t ə n t
incl	ɪ ŋ k əl
champagne	ʃ æ m p eɪ n
ala	ɐ l æ
decimal	d ɛ s ɪ m əl
hq	eɪ tʃ k j uː
deviation	d iː v ɪ eɪ ʃ ə n
superintendent	s uː p ɚ ɹ ɪ n t ɛ n d ə n t
propecia	p ɹ ə p iː ʃ ə
dip	d ɪ p
nbc	ɛ n b iː s iː
samba	s æ m b ə
hostel	h ɑː s t əl
housewives	h aʊ s w aɪ v z
employ	ɛ m p l ɔɪ
mongolia	m ɔ ŋ ɡ oʊ l iə
penguin	p ɛ ŋ ɡ w ɪ n
magical	m æ dʒ ɪ k əl
influences	ɪ n f l uː ə n s ᵻ z
inspections	ɪ n s p ɛ k ʃ ə n z
irrigation	ɪ ɹ ɪ ɡ eɪ ʃ ə n
miracle	m ɪ ɹ ə k əl
manually	m æ n j uː əl i
reprint	ɹ ᵻ p ɹ ɪ n t
reid	ɹ iː d
wt	d ʌ b əl j uː t iː
hydraulic	h aɪ d ɹ ɔː l ɪ k
centered	s ɛ n t ɚ d
robertson	ɹ ɑː b ɚ t s ə n
flex	f l ɛ k s
yearly	j ɪɹ l i
penetration	p ɛ n ɪ t ɹ eɪ ʃ ə n
wound	w uː n d
belle	b ɛ l
rosa	ɹ oʊ s ə
conviction	k ə n v ɪ k ʃ ə n
hash	h æ ʃ
omissions	oʊ m ɪ ʃ ə n z
writings	ɹ aɪ ɾ ɪ ŋ z
hamburg	h æ m b ɜː ɡ
lazy	l eɪ z i
mv	ɛ m v iː
mpg	ɛ m p iː dʒ iː
retrieval	ɹ ᵻ t ɹ iː v əl
qualities	k w ɔ l ᵻ ɾ i z
cindy	s ɪ n d i
fathers	f ɑː ð ɚ z
carb	k ɑːɹ b
charging	tʃ ɑːɹ dʒ ɪ ŋ
cas	k æ s
marvel	m ɑːɹ v əl
lined	l aɪ n d
cio	s iː aɪ oʊ
dow	d aʊ
prototype	p ɹ oʊ ɾ oʊ t aɪ p
importantly	ɪ m p ɔːɹ t ə n t l i
rb	ɑːɹ b iː
petite	p ə t iː t
apparatus	æ p ɚ ɹ æ ɾ ə s
upc	j uː p iː s iː
terrain	t ɚ ɹ eɪ n
dui	d uː i
pens	p ɛ n z
explaining	ɛ k s p l eɪ n ɪ ŋ
yen	j ɛ n
strips	s t ɹ ɪ p s
gossip	ɡ ɑː s ɪ p
rangers	ɹ eɪ n dʒ ɚ z
nomination	n ɑː m ᵻ n eɪ ʃ ə n
empirical	ɛ m p ɪ ɹ ɪ k əl
mh	ɛ m eɪ tʃ
rotary	ɹ oʊ ɾ ɚ ɹ i
worm	w ɜː m
dependence	d ᵻ p ɛ n d ə n s
discrete	d ɪ s k ɹ iː t
beginner	b ɪ ɡ ɪ n ɚ
boxed	b ɑː k s t
lid	l ɪ d
sexuality	s ɛ k ʃ uː æ l ᵻ ɾ i
polyester	p ɑː l ɪ ɛ s t ɚ
cubic	k j uː b ɪ k
deaf	d ɛ f
commitments	k ə m ɪ t m ə n t s
suggesting	s ə dʒ ɛ s t ɪ ŋ
sapphire	s æ f aɪɚ
kinase	k ɪ n eɪ s
skirts	s k ɜː t s
mats	m æ t s
remainder	ɹ ᵻ m eɪ n d ɚ
crawford	k ɹ ɔː f ɚ d
labeled	l eɪ b əl d
privileges	p ɹ ɪ v ᵻ l ɪ dʒ ᵻ z
televisions	t ɛ l ᵻ v ɪ ʒ ə n z
specializing	s p ɛ ʃ əl aɪ z ɪ ŋ
marking	m ɑːɹ k ɪ ŋ
commodities	k ə m ɑː d ᵻ ɾ i z
pvc	p iː v iː s iː
serbia	s ɜː b i ə
sheriff	ʃ ɛ ɹ ɪ f
griffin	ɡ ɹ ɪ f ɪ n
declined	d ᵻ k l aɪ n d
guyana	ɡ aɪ ɑː n ə
spies	s p aɪ z
blah	b l ɑː
mime	m aɪ m
neighbor	n eɪ b ɚ
motorcycles	m oʊ ɾ ɚ s aɪ k əl z
elect	ᵻ l ɛ k t
highways	h aɪ w eɪ z
thinkpad	θ ɪ ŋ k p æ d
concentrate	k ɑː n s ə n t ɹ eɪ t
intimate	ɪ n t ᵻ m ə t
reproductive	ɹ ᵻ p ɹ ə d ʌ k t ɪ v
preston	p ɹ ɛ s t ə n
deadly	d ɛ d l i
feof	f iː f
bunny	b ʌ n i
chevy	ʃ ɛ v i
molecules	m ɑː l ɪ k j uː l z
rounds	ɹ aʊ n d z
longest	l ɔ ŋ ɡ ɪ s t
refrigerator	ɹ ᵻ f ɹ ɪ dʒ ɚ ɹ eɪ ɾ ɚ
tions	t ɪ ɑː n z
intervals	ɪ n t ɚ v əl z
sentences	s ɛ n t ə n s ᵻ z
dentists	d ɛ n t ɪ s t s
usda	j uː ɛ s d iː eɪ
exclusion	ɛ k s k l uː ʒ ə n
workstation	w ɜː k s t eɪ ʃ ə n
holocaust	h ɑː l ə k ɔː s t
keen	k iː n
flyer	f l aɪ ɚ
peas	p iː z
dosage	d oʊ s ɪ dʒ
receivers	ɹ ᵻ s iː v ɚ z
urls	ɜː l z
customise	k ʌ s t ə m aɪ z
disposition	d ɪ s p ə z ɪ ʃ ə n
variance	v ɛ ɹ iə n s
navigator	n æ v ɪ ɡ eɪ ɾ ɚ
investigators	ɪ n v ɛ s t ᵻ ɡ eɪ ɾ ɚ z
cameroon	k æ m ɚ ɹ uː n
baking	b eɪ k ɪ ŋ
marijuana	m æ ɹ ɪ w ɑː n ə
adaptive	ɐ d æ p t ɪ v
computed	k ə m p j uː ɾ ᵻ d
needle	n iː d əl
baths	b æ θ s
enb	ɛ n b
gg	dʒ iː dʒ iː
cathedral	k ɐ θ iː d ɹ əl
brakes	b ɹ eɪ k s
og	ɑː ɡ
nirvana	n ɜː v ɑː n ə
ko	k oʊ
fairfield	f ɛɹ f iː l d
owns	oʊ n z
til	t ɪ l
invision	ɪ n v ɪ ʒ ə n
sticky	s t ɪ k i
destiny	d ɛ s t ɪ n i
generous	dʒ ɛ n ɚ ɹ ə s
madness	m æ d n ə s
emacs	iː m æ k s
climb	k l aɪ m
blowing	b l oʊ ɪ ŋ
fascinating	f æ s ᵻ n eɪ ɾ ɪ ŋ
landscapes	l æ n d s k eɪ p s
heated	h iː ɾ ᵻ d
lafayette	l æ f eɪ ɛ t
jackie	dʒ æ k i
wto	d ʌ b əl j uː t iː oʊ
computation	k ɑː m p j uː t eɪ ʃ ə n
hay	h eɪ
cardiovascular	k ɑːɹ d ɪ oʊ v æ s k j ʊ l ɚ
ww	d ʌ b əl j uː d ʌ b əl j uː
sparc	s p ɑːɹ k
cardiac	k ɑːɹ d i æ k
salvation	s æ l v eɪ ʃ ə n
dover	d oʊ v ɚ
adrian	eɪ d ɹ iə n
predictions	p ɹ ɪ d ɪ k ʃ ə n z
accompanying	ɐ k ʌ m p ə n i ɪ ŋ
vatican	v æ ɾ ɪ k ə n
brutal	b ɹ uː ɾ əl
learners	l ɜː n ɚ z
gd	dʒ iː d iː
selective	s ᵻ l ɛ k t ɪ v
arbitration	ɑːɹ b ɪ t ɹ eɪ ʃ ə n
configuring	k ə n f ɪ ɡ j ɚ ɹ ɪ ŋ
token	t oʊ k ə n
editorials	ɛ d ɪ t ɔː ɹ ɪ ə l z
zinc	z ɪ ŋ k
sacrifice	s æ k ɹ ᵻ f aɪ s
seekers	s iː k ɚ z
guru	ɡ j ʊɹ ɹ uː
isa	ɪ s ə
removable	ɹ ᵻ m uː v ə b əl
convergence	k ə n v ɜː dʒ ə n s
yields	j iː l d z
gibraltar	dʒ ɪ b ɹ ɔ l t ɚ
levy	l ɛ v i
suited	s uː ɾ ᵻ d
numeric	n uː m ɛ ɹ ɪ k
anthropology	æ n θ ɹ ə p ɑː l ə dʒ i
skating	s k eɪ ɾ ɪ ŋ
kinda	k aɪ n d ə
aberdeen	æ b ɚ d iː n
